Date,Description*,Image,Place*,"Location (latitude, longitude)",Source*,Source URL*,Total assets of balance sheet of bank at time of failure (EUR + orig. currency)*,Source (link for total asset of balance sheet),Corporate entity,Acquirer (public or private),Type of restructuring,Home country*,Failed (Yes/No),Amount,Did the bank receive state aid?
2009-01-01,,,"Dublin, Ireland","53.34807, -6.248274",,,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2009-02-12,,,"Dublin, Ireland","53.34807, -6.248274",,,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2010-12-15,,,"Dublin, Ireland","53.34807, -6.248274",Telegraph,http://www.telegraph.co.uk/finance/financialcrisis/8204455/Irish-government-takes-control-of-countrys-largest-building-society-EBS.html,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2011-07-07,INBS merges with Anglo Irish The assets and liabilities of Irish Nationwide Building Society have been transferred to Anglo Irish Bank with immediate effect. The move follows an order made by the High Court today under the Credit Institutions (Stabilisation) Act 2010.,,"Grand Parade, Dublin 6, Dublin, Ireland","53.330475, -6.259449",Irish Times,http://www.irishtimes.com/newspaper/breaking/2011/0701/breaking20.html,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2010-12-16,"EBS Building Society on Wednesday came under the control of the Irish authorities after the Dublin government handed the lender a second capital injection to help it reach a new target for its capital ratios. The latest funding package for EBS, which comes in the form of special investment shares that will convert into ordinary shares if the building society is demutualised, will take the lender's Tier 1 capital ratio to nearly 14pc. Ireland's Central Bank has imposed a minimum 12pc Tier 1 ratio on the country's financial institutions and last month said EBS needed to raise a further €438m to meet the new standard.",,"Dublin, Ireland","53.34807, -6.248274",Telegraph,http://www.telegraph.co.uk/finance/newsbysector/banksandfinance/8165146/Irish-fury-as-EU-nationalises-Bank-of-Ireland.html,154880 m,,,Central Bank of Ireland,Nationalisation,Ireland,,,
2012-04-26,"High quality global journalism requires investment. Please share this article with others using the link below, do not cut & paste the article. See our Ts&Cs and Copyright Policy for more detail. Email ftsales.support@ft.com to buy additional rights. http://www.ft.com/cms/s/0/73184874-8fbd-11e1-98b1-00144feab49a.html#ixzz2GvSSFzUr Dublin plans to transform lender Permanent TSB into a “third national bank” to meet competition concerns in the rapidly shrinking Irish banking market. Under a strategy agreed with Ireland’s international bailout partners, the state-owned lender will be split into a “good” and “bad” bank to deal with €12.5bn of bad loans and lossmaking tracker mortgages that threaten it with closure.",,Ireland,"53.430361, -8.326615",Financial Times,http://www.ft.com/intl/cms/s/0/73184874-8fbd-11e1-98b1-00144feab49a.html#axzz2GqUo6Gzk,,,,Central Bank of Ireland,Nationalisation,Ireland,,,
1905-07-02,,,"Bologna,Italy","44.504835, 11.345165",,http://www.bancaditalia.it/media/comsta/2010/CS_BER.pdf,,,,,Extraordinary Administration,Italy,Yes,,
1905-07-04,,,"Bologna,Italy","44.504835, 11.345165",,http://www.ilsole24ore.com/art/finanza-e-mercati/2012-06-14/treviso-rimini-ecco-tutte-143708.shtml?uuid=AbcIZBsF,,,,,"""Controlled Administration""",Italy,No,,
2009-05-27,,,"Rome,Italy","41.90311, 12.49576",,http://www.ilsole24ore.com/art/finanza-e-mercati/2012-06-14/treviso-rimini-ecco-tutte-143708.shtml?uuid=AbcIZBsF,,,,,"""Controlled Administration""",Italy,No,,
1905-07-04,,,"Rimini,Italy","44.05539, 12.569995",,,,,,,"""Controlled Administration""",Italy,No,,
1905-07-04,,,"Teramo,Italy","42.65726, 13.69741",,http://www.linkiesta.it/blogs/trenta-denari/commissariata-una-banca-coinvolta-nel-crac-immobiliare-di-mario,,,,,"""Controlled Administration""",Italy,No,,
1905-07-04,,,"Rome,Italy","41.90311, 12.49576",,http://www.linkiesta.it/blogs/trenta-denari/commissariata-una-banca-coinvolta-nel-crac-immobiliare-di-mario,,,,,Extraordinary Administration,Italy,No,,
2012-09-20,,,"Monaster del Sile (TV),Italy","45.945375, 12.801915",,http://www.bccmonsile.it/?area=1&menu=31392,,,,,Extraordinary Administration,Italy,No,,
2011-05-05,,,"Cosenza,Italy","39.293213, 16.256949",,www.gazzettaufficiale.biz/atti/2011/20110147/11A08219.htm,,,,,Extraordinary Administration,Italy,No,,
2012-09-12,,,Italy,"41.29254, 12.573465",,http://www.gazzettaufficiale.biz/atti/2012/20120237/12A10718.htm,,,,,Extraordinary Administration,Italy,No,,
2011-09-22,,,Italy,"41.29254, 12.573465",,http://www.bancasturzo.bcc.it/news/dettaglio_news.asp?hNewsID=74099&i_menuID=-118,,,,,Extraordinary Administration,Italy,No ,,
2011-10-20,,,Italy,"41.29254, 12.573465",,http://www.gazzettaufficiale.biz/atti/2012/20120008/12A00054.htm,,,,,Extraordinary Administration,Italy,No,,
2010-03-26,,,Italy,"41.29254, 12.573465",,http://www.gazzettaufficiale.biz/atti/2011/20110230/11A12807.htm,,,,,Extraordinary Administration,Italy,No,,
1905-07-03,,,Italy,"41.29254, 12.573465",,http://www.gazzettaufficiale.biz/atti/2011/20110151/11A08282.htm,,,,,Extraordinary Administration,Italy,,,
1905-07-03,,,Italy,"41.29254, 12.573465",,http://www.gazzettaufficiale.biz/atti/2011/20110147/11A08220.htm,,,,,Extraordinary Administration,Italy,,,
1905-07-03,,,Italy,"41.29254, 12.573465",,http://www.gazzettaufficiale.biz/atti/2011/20110148/11A08221.htm,,,,,Extraordinary Administration,Italy,,,
1905-07-03,,,Italy,"41.29254, 12.573465",,www.gazzettaufficiale.biz/atti/2011/20110146/11A08201.htm,,,,,Extraordinary Administration,Italy,,,
1905-07-03,,,Italy,"41.29254, 12.573465",,http://www.gazzettaufficiale.biz/atti/2011/20110010/11A00349.htm,,,,,Extraordinary Administration,Italy,,,
2009-09-28,"Italy's Banco Popolare became the first Italian bank to subscribe to the government's $15.3 billion bailout program on Monday. Other banks are likely to follow suit, highlighting how the problems within the global banking sector have spread rapidly even to those that had steered clear of U.S. subprime investments. Banco Popolare, based in Verona, said it would be selling 1.5 billion euros ($1.9 billion) of convertible bonds to the government, paying an annual yield of between 7.5% to 8.5% for the first few years. It’s the first Italian bank to do so, but unlikely to be the last.",,"Verona, Italy","45.438113, 10.991505",Forbes,http://www.forbes.com/2009/03/10/banco-popolare-bailout-markets-equity-italy.html,,,,,,Italy,,,
2008-11-08,"The Latvian government is set to increase its stake in Parex Banka, the country’s second largest bank, to 84 per cent in order to reassure depositors, creditors and the International Monetary Fund. The agreement, reached late on Tuesday, nationalises the last big independent Baltic bank, taking the state’s stake up from 51 per cent, and marks the collapse of the empire of Valery Kargin and Viktor Krasovitsky, once Latvia’s richest men. Mr Kargin and Mr Krasovitsky, Russian Jews with good Communist party connections, won the first private licence in the Soviet Union to trade in hard currency in 1990. After Latvia achieved independence in 1991 they built a lucrative business servicing Russian capital flight. Parex survived three Latvian banking crises during the 1990s but it was powerless to withstand the impact of the credit crisis and the Baltic recession. Depositors lost confidence last month because it lacked a strong foreign parent, unlike Swedish-owned rivals. Servicing Russian capital flight proved a fatal weakness when non-resident clients – representing half its deposits – withdrew funds. Last month the founders handed a 51 per cent stake to the government but this was not enough to end the bank’s agonies.",,"Riga, Latvia","56.946, 24.114905",Financial Times,http://www.ft.com/intl/cms/s/0/d107ae4c-c190-11dd-831e-000077b07658.html#axzz2GqUo6Gzk,,,,Hipotēku banka (owned by Latvian government),Nationalisation,Latvia,,,
2008-11-08,,,Latvia,"56.880104, 24.605246",,,,,,Hipotēku banka (owned by Latvian government),Nationalisation,,,,
2012-08-05,"On 8 May, Riga District Court decided to start the bankruptcy procedure of the failed Latvian bank Latvijas Krajbanka. The move was initiated by Krajbanka's insolvency administrator SIA KPMG Baltics. The company believes that it is impossible to revive the bank without state support, which is not coming. Advertisement Krajbanka was declared insolvent on 23 December 2011 after the Latvian financial watchdog suspended its activities on 21 November 2011.",,Latvia,"56.880104, 24.605246",Baltic Business News,http://balticbusinessnews.com/article/2012/5/9/krajbanka-declared-bankrupt,,,,,,Latvia,,,
2011-11-23,"Lithuania's central bank said it would file a request on Friday for Snoras, the country's fifth largest bank, to be declared bankrupt because it was insolvent and had a bigger hole in reported assets than previously thought. Russian businessman Vladimir Antonov, who owned a majority stake in Snoras, and his Lithuanian partner Raimondas Baranauskas were detained on Thursday in London on a European arrest warrant. Prosecutors said they were suspected of large-scale embezzlement and fraud. Snoras owned 68 percent of Latvijas Krajbanka, which Latvia took over on Monday. ""I don't think there should be any problems in relations between Lithuania and Latvia because of one guy's, Mr. Antonov's, fraud in Lithuania and Latvia,"" Lithuania's Prime Minister Andrius Kubilius said. However, Latvian Prime Minister Valdis Dombrovskis canceled a planned visit to Lithuania on Friday, and held emergency talks on Krajbanka. He said that in a phone conversation with Kubilius he had ""expressed regret that Lithuania did not manage to stabilise Snoras. Clients in both countries will suffer."" Latvia's banking watchdog said it was pushing for Krajbanka, the country's oldest bank, to be declared bankrupt. There were some 100 million lats in assets missing from Krajbanka, according to the country's Financial and Capital Market Commission (FKTK). The FKTK said on Friday it would launch payouts from the deposit insurance fund to Latvijas Krajbanka's depositors, through the state-owned Citadele Bank, starting on Tuesday.",,Lithuania,"55.173956, 23.89439",Reuters,http://uk.reuters.com/article/2011/11/25/lithuania-snoras-latvia-idUKL5E7MP06620111125,,, Konversbank ,,Nationalisation,Lithuania,,,
2008-09-28,,,"Amsterdam, Netherlands","52.373095, 4.893305",Telegraph,http://www.telegraph.co.uk/finance/financialcrisis/3100606/Financial-crisis-Benelux-bank-Fortis-nationalised-to-stop-collapse.html,,,Fortis,Government of the Netherlands (Dutch assets including ABN AMRO),Nationalisation,Netherlands,,,
1905-06-30,,,Portugal,"36.091091, -18.727655",,,,,,Government,Nationalisation,Portugal,,,
2010-04-15,,,Portugal,"36.091091, -18.727655",,http://europa.eu/rapid/press-release_IP-10-972_en.htm?locale=en,,,,,liquidation,Portugal,,€450M,
2012-06-29,,,Portugal,"36.091091, -18.727655",,http://www.bportugal.pt/en-US/OBancoeoEurosistema/ComunicadoseNotasdeInformacao/Pages/combp20120124.aspx,,,,,Eurozone bailout injection,Portugal,,€3 Billion,
2012-06-29,,,Portugal,"36.091091, -18.727655",,http://www.bportugal.pt/en-US/OBancoeoEurosistema/ComunicadoseNotasdeInformacao/Pages/combp20120124.aspx,,,,,Eurozone bailout injection,Portugal,,€1.5 Billion,
2012-06-29,,,Portugal,"36.091091, -18.727655",,http://www.bportugal.pt/en-US/OBancoeoEurosistema/ComunicadoseNotasdeInformacao/Pages/combp20120124.aspx,,,,,Eurozone bailout injection,Portugal,,€900 Million + €750 Million in stock,
2011-11-21,,,Spain,"35.712709, -6.916455",,http://www.bde.es/f/webbde/GAP/Secciones/SalaPrensa/InformacionInteres/ReestructuracionSectorFinanciero/Ficheros/en/frob25062012e.pdf,,,,FROB,,Spain,,,
